ALL_ID	posterior_mean	posterior_sd	posterior_prob	GBE_ID
B_1402	0.105265176229186	0.0307998711685042	14.6	cancer1003
B_4001	-0.0978772871256498	0.0240864344125903	75.4	cancer1003
B_4403	-0.117868175002749	0.022947037118105	100	cancer1003
C_304	0	0	0	cancer1003
C_802	0.0958590772619061	0.0261446317130678	48.1	cancer1003
C_1601	0	0	0	cancer1003
DRB4_103	0	0	0	cancer1003
DRB4_9901	0	0	0	cancer1003
DRB1_101	0	0	0	cancer1003
DRB1_404	0	0	0	cancer1003
DRB1_701	0	0	0	cancer1003
DQB1_302	-0.0971643127736163	0.0213093031250145	100	cancer1003
DQB1_501	0.108294089123218	0.0152593524978886	100	cancer1003
DQB1_604	-0.124577409163898	0.0325726766682707	24.6	cancer1003
DQA1_101	0	0	0	cancer1003
DQA1_201	0	0	0	cancer1003
DQA1_301	0	0	0	cancer1003
DRB4_103	0	0	0	cancer1037
DRB4_9901	0	0	0	cancer1037
DRB1_401	0	0	0	cancer1037
DQB1_501	-0.106245186652424	0.0332103497399878	25.4	cancer1037
DQA1_301	0.14622730953387	0.026880905227392	100	cancer1037
DRB4_103	0	0	0	cancer1041
DRB4_9901	0	0	0	cancer1041
DRB3_9901	0.177720445670754	0.0305039134254971	100	cancer1041
DRB1_101	0	0	0	cancer1041
DQB1_501	-0.279428991574584	0.0473484657635628	100	cancer1041
DQA1_301	0	0	0	cancer1041
DPB1_402	0	0	0	cancer1041
B_801	0	0	0	cancer1047
C_701	0	0	0	cancer1047
DRB1_301	0.211286967995171	0.0406147947257002	44.2	cancer1047
DQB1_201	0.212969943604141	0.0405689572203841	55.8	cancer1047
B_801	0	0	0	cancer1053
C_701	0	0	0	cancer1053
DRB1_101	0	0	0	cancer1053
DRB1_301	0.262227554324267	0.0465095095481096	41.2	cancer1053
DQB1_201	0.265043879057951	0.0464547327900643	58.8	cancer1053
DQB1_501	0.270943218514687	0.0510558006632945	100	cancer1053
A_101	0.0490157988079485	0.0137091399250109	45.4	cancer1060
B_1402	0.121388814242259	0.0327476662820626	21.7	cancer1060
B_4001	-0.112432873208306	0.0262181866789548	100	cancer1060
B_4403	-0.126120026539701	0.0258134091614937	100	cancer1060
C_304	0	0	0	cancer1060
C_802	0.11180602541255	0.0279756060799181	67.2	cancer1060
C_1601	0	0	0	cancer1060
DRB4_101	0	0	0	cancer1060
DRB4_103	0	0	0	cancer1060
DRB4_9901	0	0	0	cancer1060
DRB1_101	0	0	0	cancer1060
DRB1_103	0	0	0	cancer1060
DRB1_404	0	0	0	cancer1060
DRB1_701	0	0	0	cancer1060
DQB1_302	-0.0882464932914951	0.020923598678079	100	cancer1060
DQB1_501	0.12146674700447	0.0163410553147257	100	cancer1060
DQA1_101	0	0	0	cancer1060
DQA1_201	0	0	0	cancer1060
DQA1_301	0	0	0	cancer1060
DRB4_103	0	0	0	HC1020
DRB3_9901	0	0	0	HC1020
DQB1_302	0.0743160072635014	0.012986968692594	100	HC1020
DQA1_301	0	0	0	HC1020
A_2902	0	0	0	HC1021
B_4403	0.0931948610713152	0.0195501499441475	100	HC1021
C_1601	0	0	0	HC1021
DRB5_101	0	0	0	HC1021
DRB5_9901	0	0	0	HC1021
DRB4_101	0	0	0	HC1021
DRB3_9901	0.0550018504251756	0.0112130446805137	100	HC1021
DRB1_401	0	0	0	HC1021
DRB1_404	-0.172510822785506	0.0256236057790527	100	HC1021
DRB1_701	0	0	0	HC1021
DRB1_1301	-0.149021396165193	0.0238251695388885	6.7	HC1021
DRB1_1501	0	0	0	HC1021
DQB1_602	0	0	0	HC1021
DQB1_603	-0.150533188205159	0.0242268177428335	57.3	HC1021
DQA1_101	-0.090572982065939	0.0137200953263887	100	HC1021
DQA1_103	-0.150498277585076	0.0242338445080492	36.1	HC1021
DQA1_201	0	0	0	HC1021
DPB1_101	0.0642200948265774	0.0190358212130094	29.3	HC1021
DPB1_301	-0.110242471618653	0.018936750816842	100	HC1021
DPA1_201	0	0	0	HC1021
DRB3_9901	0.0818602787067294	0.018334347891933	100	HC1023
DRB1_404	0.132985972641045	0.0384439035755033	30.9	HC1023
DQA1_301	0.0649727277469773	0.0205001584608665	14.1	HC1023
B_801	0.172414322608034	0.0297303270068385	100	HC1024
B_4001	0	0	0	HC1024
DRB5_101	0	0	0	HC1024
DRB5_9901	0	0	0	HC1024
DRB4_103	0	0	0	HC1024
DRB4_9901	0	0	0	HC1024
DRB3_202	0	0	0	HC1024
DRB1_401	-0.174050914089423	0.0463062669968175	67.3	HC1024
DRB1_404	0	0	0	HC1024
DRB1_701	0	0	0	HC1024
DRB1_901	0	0	0	HC1024
DRB1_1301	-0.240582969974066	0.0575171357880573	49.8	HC1024
DRB1_1501	0	0	0	HC1024
DQB1_302	0	0	0	HC1024
DQB1_602	0	0	0	HC1024
DQB1_603	-0.230684645302681	0.0573702238584498	23.8	HC1024
DQA1_102	0	0	0	HC1024
DQA1_103	-0.23238636848605	0.0574578065543595	26.4	HC1024
DQA1_201	0	0	0	HC1024
DQA1_301	0.375501200471458	0.0587130199508964	100	HC1024
B_801	0.0547382242777182	0.0112051198168891	100	HC1036
C_401	0	0	0	HC1036
DRB4_103	0	0	0	HC1036
DRB4_9901	0	0	0	HC1036
DRB1_101	0	0	0	HC1036
DRB1_301	0	0	0	HC1036
DRB1_401	0.145009652810364	0.012630930297916	100	HC1036
DRB1_1301	0	0	0	HC1036
DRB1_1302	0	0	0	HC1036
DQB1_201	0	0	0	HC1036
DQB1_301	0	0	0	HC1036
DQB1_302	0	0	0	HC1036
DQB1_501	0	0	0	HC1036
DQB1_603	0	0	0	HC1036
DQB1_604	-0.115699475574935	0.0258860575148837	100	HC1036
DQA1_101	-0.13284148002909	0.0121235850535817	100	HC1036
DQA1_102	-0.0591031066119669	0.011244678335408	100	HC1036
DQA1_103	-0.177743443790062	0.018406678269225	100	HC1036
DQA1_301	0	0	0	HC1036
DQA1_501	0	0	0	HC1036
DRB1_701	-0.168704402156553	0.0431636516147773	57	HC1038
DRB1_1501	0	0	0	HC1038
DQA1_201	-0.16270847095013	0.0430478407772765	33.7	HC1038
DPB1_401	0.106785827391003	0.0285215943000681	67.5	HC1038
B_801	-0.0437080407880962	0.0108373803635745	44.2	HC1080
C_701	-0.0407919050245882	0.00996688064448849	55.8	HC1080
A_101	-0.0646126980337758	0.0183672139566977	34.3	HC1094
B_801	-0.0804840685875851	0.0162089714983941	13.8	HC1094
C_701	0	0	0	HC1094
DRB3_101	-0.0732759353127996	0.0151860697945687	6.7	HC1094
DRB1_301	-0.0765055888778981	0.0190941114005342	34	HC1094
DQB1_201	-0.0743449160284115	0.0194109579990987	23.7	HC1094
DQA1_501	0	0	0	HC1094
DRB1_103	1.10930866544939	0.0762421713888823	100	HC1101
DRB1_1302	0.339151505684107	0.0740565120953321	100	HC1101
A_101	0	0	0	HC1102
A_201	0.110307263983564	0.0273986706498999	93.1	HC1102
DRB5_101	0.161320574204649	0.034283924578843	33	HC1102
DRB5_9901	-0.152497168298021	0.0339142678632469	13.1	HC1102
DRB4_103	0	0	0	HC1102
DRB4_9901	0	0	0	HC1102
DRB1_103	0.964751369864651	0.0616703269082118	100	HC1102
DRB1_404	-0.367959199869372	0.0935897339028829	32.9	HC1102
DRB1_1501	0.158373154393478	0.0344449191263527	20.2	HC1102
DQB1_302	-0.319713761459601	0.0510706675490996	67.1	HC1102
DQB1_501	0	0	0	HC1102
DQB1_602	0.161700848968734	0.0343281043523512	33.7	HC1102
DQA1_101	0	0	0	HC1102
DQA1_301	-0.156126012958114	0.0375984163364067	32.9	HC1102
DRB4_103	0.0554210717123555	0.0103628617127057	100	HC1106
DRB4_9901	0	0	0	HC1106
DRB1_401	0	0	0	HC1106
DRB1_1101	-0.110533027053467	0.0294045435626611	72.1	HC1106
DQA1_301	0	0	0	HC1106
DRB4_103	0	0	0	HC1113
DQB1_302	0.077707623687032	0.0165779013796381	100	HC1113
A_101	0	0	0	HC1132
B_801	0.259227638762099	0.0471493696773367	100	HC1132
B_4402	0	0	0	HC1132
C_701	0	0	0	HC1132
DRB4_103	-0.458570489822715	0.128767925570359	100	HC1132
DRB4_9901	-0.657623091921678	0.0573729745849883	100	HC1132
DRB3_101	0	0	0	HC1132
DRB3_9901	0	0	0	HC1132
DRB1_301	0	0	0	HC1132
DRB1_401	0	0	0	HC1132
DQB1_201	0.487118578269101	0.111210960936104	100	HC1132
DQB1_301	-0.660011769058754	0.0931064416985126	100	HC1132
DQB1_303	-0.756727664796491	0.138431802978583	100	HC1132
DQB1_501	0	0	0	HC1132
DQA1_101	-0.236514166964372	0.0589502881094512	100	HC1132
DQA1_301	-0.320208172908513	0.0887226350256208	52.2	HC1132
DQA1_501	0.620733466807836	0.110245455294403	100	HC1132
DPB1_101	0.275130720909902	0.0686517853220146	52.6	HC1132
DPA1_103	-0.229165823326012	0.0329229951761737	6.2	HC1132
DPA1_201	0.223401659787981	0.0543783531732793	53	HC1132
DRB1_701	-0.0884622701839038	0.0218412897821537	49.2	HC1148
DQA1_201	-0.0885776757844937	0.0218285073117499	50.8	HC1148
B_801	0	0	0	HC1149
C_602	0.143968591012658	0.0292059530072121	100	HC1149
C_701	0	0	0	HC1149
DRB3_101	-0.0968601026502913	0.0245774449085428	12.3	HC1149
DRB1_103	0.250248424123798	0.0610799410615579	87.9	HC1149
DRB1_301	-0.111720136085011	0.0260097720087924	62.2	HC1149
DQB1_201	-0.106240196519831	0.0258391164633078	25.5	HC1149
A_301	0.0610218070821251	0.0123252575505639	100	HC1158
A_6801	-0.0983190987098157	0.026748009733645	72.2	HC1158
B_4402	0	0	0	HC1158
B_5701	-0.125700045014087	0.0328889543645001	100	HC1158
C_501	0	0	0	HC1158
C_602	0	0	0	HC1158
DRB4_101	-0.0854610801287587	0.0171027568513811	25.3	HC1158
DRB1_101	-0.0689723775772659	0.0155795987380403	100	HC1158
DRB1_401	0.0670724513555692	0.0139351945067768	84.4	HC1158
DRB1_701	-0.0704836913388921	0.013852409905369	19.5	HC1158
DQB1_301	0	0	0	HC1158
DQB1_303	0	0	0	HC1158
DQB1_602	0	0	0	HC1158
DQA1_201	-0.0718701359096353	0.0139147508771465	55.2	HC1158
DQA1_301	0.0526487438681731	0.0113589590102131	15.6	HC1158
A_101	0	0	0	HC1159
A_3001	0	0	0	HC1159
B_702	-0.0911351031935899	0.0253318920560138	58.7	HC1159
B_1302	0	0	0	HC1159
B_3701	0	0	0	HC1159
B_5701	0.35688752819345	0.0376035421146308	100	HC1159
C_602	0.809687996998152	0.031035805092009	100	HC1159
C_701	0	0	0	HC1159
C_702	0	0	0	HC1159
DRB4_103	0	0	0	HC1159
DRB4_9901	0	0	0	HC1159
DRB3_101	0	0	0	HC1159
DRB3_9901	0	0	0	HC1159
DRB1_301	-0.144971897174551	0.0256246740938819	57.1	HC1159
DRB1_701	0	0	0	HC1159
DQB1_201	-0.143375163309192	0.0255631823479784	42.9	HC1159
DQB1_202	0	0	0	HC1159
DQB1_303	0	0	0	HC1159
DQA1_201	0	0	0	HC1159
DQA1_501	0	0	0	HC1159
A_301	0.238755619791378	0.0511362446792672	100	HC1162
B_3501	0	0	0	HC1162
DRB5_101	0	0	0	HC1162
DRB5_9901	0.405058930675407	0.0639765056805315	36.2	HC1162
DRB1_101	0.406886751785283	0.0556904140910439	100	HC1162
DRB1_102	0.716104264625588	0.156471014106219	100	HC1162
DRB1_1001	1.02530949272466	0.153510255374273	100	HC1162
DRB1_1501	0	0	0	HC1162
DQB1_501	0	0	0	HC1162
DQB1_602	0	0	0	HC1162
DQA1_101	0	0	0	HC1162
DQA1_102	-0.367789257640144	0.0568387225773697	63.8	HC1162
DRB1_301	0.0930288714000884	0.0228750412640268	38.7	HC1164
DQB1_201	0.0955178152625809	0.0228430645694823	61.3	HC1164
DRB4_9901	0	0	0	HC1171
DRB1_1101	0.167293912619725	0.0383459316077325	100	HC1171
DQA1_101	0.0796761801326494	0.0179095560848936	100	HC1171
DRB4_103	0	0	0	HC1176
DRB3_101	0	0	0	HC1176
DRB3_9901	0.37433526832328	0.0707594667021937	100	HC1176
DRB1_301	0	0	0	HC1176
DRB1_401	0	0	0	HC1176
DQB1_201	0	0	0	HC1176
DQB1_301	0.34403582909693	0.0778418516589588	100	HC1176
DQA1_301	0	0	0	HC1176
B_702	0.2505244768404	0.0415135244088429	100	HC1178
C_702	0	0	0	HC1178
B_801	-0.161384309089436	0.0347232126602501	100	HC1182
DRB3_101	0	0	0	HC1182
B_801	0	0	0	HC1183
C_701	0	0	0	HC1183
DRB3_101	0	0	0	HC1183
DRB3_9901	0	0	0	HC1183
DRB1_301	-0.236529110658375	0.0351215447473615	39.4	HC1183
DRB1_404	0.242569427262637	0.0523322793316985	100	HC1183
DQB1_201	-0.238472400111392	0.0351035954877712	60.6	HC1183
DQA1_501	0	0	0	HC1183
A_201	0.337326586030548	0.0602769690454673	100	HC1188
B_4402	0	0	0	HC1188
DRB4_103	0.371008249543864	0.0609358748340618	50.6	HC1188
DRB4_9901	-0.33657659088745	0.0576287138934495	10.9	HC1188
DRB1_401	0	0	0	HC1188
DQB1_302	0	0	0	HC1188
DQB1_602	0	0	0	HC1188
DQA1_301	0.400477806334677	0.065643660092987	38.5	HC1188
DRB4_9901	-0.10024605551542	0.0251409569145058	77.6	HC1198
DQB1_301	0.113169412980918	0.0310421681679217	12.1	HC1198
DPB1_201	-0.23646762316027	0.0455472326483355	100	HC1198
A_201	0	0	0	HC1200
A_2402	0.342353321086412	0.0709219406089854	100	HC1200
B_4402	-0.263825427410592	0.0752142232122119	56.2	HC1200
DRB1_301	0.231011283796258	0.0556502012753787	42.1	HC1200
DQB1_201	0.23498301210996	0.0555157178220459	57.9	HC1200
C_304	0	0	0	HC1211
DRB5_101	0	0	0	HC1211
DRB5_9901	0	0	0	HC1211
DRB4_103	0	0	0	HC1211
DRB4_9901	0	0	0	HC1211
DRB3_202	0	0	0	HC1211
DRB3_9901	0	0	0	HC1211
DRB1_101	0.826252181156795	0.0945694650531703	62.1	HC1211
DRB1_401	0	0	0	HC1211
DRB1_404	0	0	0	HC1211
DRB1_701	0	0	0	HC1211
DRB1_1501	0	0	0	HC1211
DQB1_301	0	0	0	HC1211
DQB1_302	0	0	0	HC1211
DQB1_501	0.763432137270655	0.0893980235430128	37.9	HC1211
DQB1_602	0	0	0	HC1211
DQA1_102	0	0	0	HC1211
DQA1_201	0	0	0	HC1211
DQA1_301	1.14979473895349	0.0707447070213472	100	HC1211
DQA1_501	0	0	0	HC1211
B_2705	0.274494169081473	0.0443877163521471	100	HC1212
DRB5_101	0	0	0	HC1212
DRB5_9901	0	0	0	HC1212
DRB4_101	0	0	0	HC1212
DRB4_103	0	0	0	HC1212
DRB4_9901	0	0	0	HC1212
DRB3_202	-0.206322019218096	0.034885127560068	100	HC1212
DRB3_9901	0	0	0	HC1212
DRB1_101	0.142531239321493	0.034433293879242	82.4	HC1212
DRB1_401	0.400548413740164	0.0307967892594983	100	HC1212
DRB1_404	0.372590593456429	0.047946015388768	100	HC1212
DRB1_701	-0.213582208317748	0.0341771185167275	50.5	HC1212
DRB1_1501	0	0	0	HC1212
DQB1_301	0	0	0	HC1212
DQB1_302	0	0	0	HC1212
DQB1_501	0.123300180829887	0.0324331306459406	17.6	HC1212
DQB1_602	0	0	0	HC1212
DQA1_102	-0.18744864953341	0.0304894830353815	100	HC1212
DQA1_201	-0.213257763264653	0.034143124055279	49.5	HC1212
DQA1_301	0	0	0	HC1212
B_1302	0	0	0	HC1213
B_2705	0.751521333415975	0.103987884692659	100	HC1213
B_3901	1.13646133331052	0.216208145076551	100	HC1213
B_5701	0.452226617046684	0.126026585933615	41.5	HC1213
C_602	0.736953455881591	0.126470567476815	100	HC1213
DRB1_701	0	0	0	HC1213
DQB1_303	0.355164586709482	0.102911443666737	18.9	HC1213
DQA1_101	0.344712811153571	0.0701806631338436	100	HC1213
DQA1_201	0	0	0	HC1213
DRB5_101	0	0	0	HC1230
DRB5_9901	0	0	0	HC1230
DRB1_1501	0	0	0	HC1230
DQA1_102	-0.0407813164687295	0.00842698464543626	100	HC1230
DRB4_103	0	0	0	HC1232
DRB4_9901	0	0	0	HC1232
DRB1_404	0	0	0	HC1232
DQB1_302	0.39708686555022	0.0733982722156799	100	HC1232
DQA1_301	0	0	0	HC1232
DPB1_402	0.279749866127931	0.0720795735854551	67.1	HC1232
A_101	0	0	0	HC1233
B_801	0.57972724045789	0.0736253974607684	100	HC1233
C_701	0	0	0	HC1233
DRB3_101	0	0	0	HC1233
DRB1_301	0	0	0	HC1233
DQB1_201	0	0	0	HC1233
DQA1_501	0	0	0	HC1233
DPB1_101	0	0	0	HC1233
A_101	0	0	0	HC1236
B_801	0.302975215053345	0.0367927681546523	100	HC1236
B_4001	0	0	0	HC1236
B_4403	0	0	0	HC1236
B_5701	0	0	0	HC1236
C_304	0	0	0	HC1236
C_602	0	0	0	HC1236
C_701	0	0	0	HC1236
DRB4_101	0	0	0	HC1236
DRB4_103	0	0	0	HC1236
DRB4_9901	0	0	0	HC1236
DRB1_401	0.3546640889131	0.0415219340619068	100	HC1236
DRB1_404	0.736550919658719	0.0580408584907562	100	HC1236
DRB1_701	-0.281112921429005	0.0634675277909566	63.6	HC1236
DQB1_202	0	0	0	HC1236
DQB1_302	0	0	0	HC1236
DQB1_303	0	0	0	HC1236
DQA1_102	0	0	0	HC1236
DQA1_201	-0.272998697962915	0.0632539831668115	36.4	HC1236
DQA1_301	0	0	0	HC1236
A_101	0	0	0	HC1242
B_702	0	0	0	HC1242
B_2705	2.1995806144102	0.0493972308637206	100	HC1242
B_4403	0	0	0	HC1242
C_102	0	0	0	HC1242
C_202	0	0	0	HC1242
C_401	0	0	0	HC1242
C_602	0	0	0	HC1242
C_702	0	0	0	HC1242
DRB5_101	0	0	0	HC1242
DRB1_101	0	0	0	HC1242
DRB1_103	0	0	0	HC1242
DRB1_701	0	0	0	HC1242
DRB1_1501	0	0	0	HC1242
DQB1_302	0	0	0	HC1242
DQB1_501	0	0	0	HC1242
DQA1_101	0	0	0	HC1242
DQA1_102	0	0	0	HC1242
DQA1_201	0	0	0	HC1242
DQA1_301	0.150144740969592	0.0477835788117038	17.9	HC1242
B_801	0	0	0	HC125
C_701	0	0	0	HC125
DRB3_101	0	0	0	HC125
DRB1_101	0	0	0	HC125
